First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Andrea,Stella,M,,,Italy,14/06/1974,18.5,19,17.5,16.5,17,18,,2;10,,,,,3,2,6,1,0,0,6,46,67,55,4,,,,,,,,,,2.937916667
Rob,Smedley,M,,,UK,28/11/1973,17,17.8,17.5,18,16.5,18,,2;19,,,,,3,2,6,1,0,0,6,46,67,55,4,,,,,,,,,,2.937916667
Simon,Rennie,M,,,UK,24/02/1978,19.5,18.5,19,18.5,18.5,19,,2;18,,,,,3,2,6,1,0,0,6,46,67,55,4,,,,,,,,,,2.937916667
Mark,Slade,M,11,2,UK,19/09/1970,16.5,15,15,15,18,15,0.94,2;18,35,10,2016,2019,3,2,6,1,0,0,6,46,67,55,4,,,,,,,,,,2.937916667
Malaki,Hourdouil,M,,,UnitedStates,22/06/1985,16,12,16,11,12,16,,3;15,,,,,1,0,0,0,1,0,0,48,15,65,3,0,0,0,0,0,0,0,0,0,2.8041666667
Maxine,Solde,F,,,Sweden,14/08/1986,19,16,20,20,14,16,,10;15,,,,,3,1,10,6,0,0,4,90,50,63,3,0,0,0,0,0,0,0,0,0,3.25
Juan,López,M,,,Mexico,17/04/1989,17,16,18,13,12,11,,2;19,,,,,5,3,10,1,0,0,0,46,58,55,2,0,0,0,0,0,0,0,0,0,3.325
Adan,Calye,M,,,Sweden,11/01/1967,16,14,14,14,19,12,,7;16,,,,,4,0,11,5,0,0,4,44,50,55,2,0,0,0,0,0,0,0,0,0,2.7291666667
Alex,O'neil,M,,,UK,14/07/1960,12,12,12,19,17,12,,8;18,,,,,4,0,6,8,0,0,8,12,50,57,2,0,0,0,0,0,0,0,0,0,3.3041666667
Gianni,Benvenuti,M,,,Italy,07/12/1981,15,20,15,19,16,15,,13;16,,,,,5,2,6,11,0,0,1,17,205,52,2,0,0,0,0,0,0,0,0,0,3.0083333333
Hugo,Harrison,M,,,UK,12/04/1970,15,10,16,11,11,16,,3;18,,,,,2,0,3,4,0,0,11,53,50,56,1,0,0,0,0,0,0,0,0,0,1.2125
Harrison,Dupuy,M,,,Finland,20/12/1980,19,20,13,10,11,11,,1;16,,,,,5,1,5,10,0,0,0,62,50,54,1,0,0,0,0,0,0,0,0,0,2.4833333333
Max,Foeck,M,,,Germany,21/02/1967,17,15,18,14,15,20,,4;14,,,,,4,1,6,8,0,0,8,40,50,53,2,0,0,0,0,0,0,0,0,0,2.8625
Eve,Lopez,F,,,UK,01/10/1984,16,10,10,16,17,17,,3;16,,,,,4,0,2,8,1,0,0,50,70,52,1,0,0,0,0,0,0,0,0,0,1.1875
Mason,Fairly,M,,,UnitedStates,24/02/1983,20,14,19,14,18,15,,3;16,,,,,5,1,1,3,0,0,0,61,14,56,3,0,0,0,0,0,0,0,0,0,1.9333333333
Uday,Dhingra,M,,,India,16/05/1964,17,10,15,17,10,10,,11;21,,,,,4,2,2,7,0,1,0,20,50,60,4,0,0,0,0,0,0,0,0,0,3.0708333333
Nadim,Kapoor,M,,,India,31/07/1969,14,16,10,17,12,16,,3;18,,,,,1,3,6,11,0,0,0,45,50,62,2,0,0,0,0,0,0,0,0,0,2.2375
Alex,Jarvis,M,,,UK,07/02/1972,11,10,19,18,14,17,,12;17,,,,,2,0,10,9,0,0,7,81,50,49,2,0,0,0,0,0,0,0,0,0,1.9291666667
Mauricio,Kurtz,M,,,Spain,08/04/1988,16,19,16,16,12,17,,12;18,,,,,5,0,10,9,0,0,7,36,31,51,1,0,0,0,0,0,0,0,0,0,2.1291666667
Carlos,Guerra,M,,,Mexico,17/11/1993,18,10,13,14,20,14,,2;19,,,,,2,1,0,8,1,0,5,42,10,53,3,0,0,0,0,0,0,0,0,0,2.6166666667
Polly,Barker,F,,,UK,01/12/1975,12,19,20,16,13,16,,10;21,,,,,3,0,10,3,0,0,1,54,50,62,3,0,0,0,0,0,0,0,0,0,2.5833333333
Tushar,Patel,M,,,India,08/12/1971,13,17,13,17,11,13,,9;15,,,,,2,2,3,11,0,0,0,61,98,63,2,0,0,0,0,0,0,0,0,0,2.1708333333
Jordyn,Bourdeau,M,,,France,18/05/1986,15,17,13,14,16,17,,4;14,,,,,4,2,3,4,3,0,0,34,70,55,2,0,0,0,0,0,0,0,0,0,2.7625
Emilia,Valente,F,,,Brazil,31/10/1986,19,14,11,15,13,19,,11;14,,,,,1,3,5,7,0,0,4,65,12,53,1,0,0,0,0,0,0,0,0,0,2.8958333333
Alex,Barbosa,M,,,Portugal,23/11/1979,20,18,15,14,14,16,,2;18,,,,,5,1,2,3,0,0,4,32,314,65,3,0,0,0,0,0,0,0,0,0,3.5083333333
Hugh,Gosselin,M,,,Finland,02/09/1975,17,19,19,18,13,13,,8;16,,,,,4,0,7,1,0,0,0,75,50,65,4,0,0,0,0,0,0,0,0,0,1.3625
Hung,Zhōng,F,,,China,27/03/1973,14,17,16,15,18,20,,2;20,,,,,5,0,7,2,0,0,4,22,50,63,4,0,0,0,0,0,0,0,0,0,2.2458333333
Tom,Woodbridge,M,,,UK,18/06/1989,13,10,20,12,18,20,,1;18,,,,,3,0,8,7,1,0,0,72,10,61,3,0,0,0,0,0,0,0,0,0,2.7583333333
Oscar,Deveritt,M,,,Denmark,16/11/1990,10,13,10,18,13,14,,2;21,,,,,3,0,1,7,0,0,0,67,15,64,1,0,0,0,0,0,0,0,0,0,3.5375
Billy,Evans,M,,,UnitedStates,24/02/1983,20,10,11,12,19,12,,9;15,,,,,3,4,10,5,2,0,10,32,70,63,3,0,0,0,0,0,0,0,0,0,2.4416666667
Rachel,McAndrew,F,,,UK,16/05/1973,18,18,10,10,18,13,,10;17,,,,,4,0,1,9,0,0,5,67,50,64,2,0,0,0,0,0,0,0,0,0,1.5666666667
Jonny,Jenkinson,M,,,UK,31/07/1990,17,12,10,17,10,18,,4;17,,,,,3,0,7,6,0,0,0,20,20,62,1,0,0,0,0,0,0,0,0,0,2.0083333333
Stephanie,Kelly,F,,,UK,07/02/1972,11,18,12,14,17,10,,8;21,,,,,3,0,6,8,0,0,0,70,50,62,3,0,0,0,0,0,0,0,0,0,3.4666666667
Kenny,Harding,M,,,UK,01/10/1984,19,13,20,17,18,15,,9;20,,,,,4,0,3,8,0,0,8,90,28,52,4,0,0,0,0,0,0,0,0,0,1.9458333333
Roger,Dunbar,M,,,Ireland,24/02/1983,19,11,15,18,18,15,,1;21,,,,,5,0,3,9,0,0,11,42,196,52,2,0,0,0,0,0,0,0,0,0,1.8041666667
Freya,Coley,F,,,UK,16/05/1973,18,18,20,15,20,19,,11;21,,,,,5,0,7,6,0,0,4,23,50,54,3,0,0,0,0,0,0,0,0,0,3.5791666667
Karl,Tye,M,,,UK,31/07/1981,20,19,14,17,10,15,,10;21,,,,,3,0,11,10,3,0,3,72,49,65,3,0,0,0,0,0,0,0,0,0,1.95
Thomas,Dole,M,,,UK,07/02/1972,14,14,15,16,17,13,,8;19,,,,,4,0,11,4,0,0,1,50,168,56,2,0,0,0,0,0,0,0,0,0,2.6958333333
Fritz,König,M,,,Germany,08/04/1988,12,16,18,12,15,18,,4;20,,,,,5,1,2,8,0,0,0,64,42,54,2,0,0,0,0,0,0,0,0,0,3.2
Bette,Baumann,F,,,Germany,17/11/1973,16,12,20,20,15,10,,2;17,,,,,1,1,7,9,1,0,4,18,50,60,2,0,0,0,0,0,0,0,0,0,2.5958333333
Yasmin,Jenkins,F,,,UK,01/12/1975,17,10,12,18,12,16,,3;20,,,,,5,0,8,4,0,0,0,10,50,55,4,0,0,0,0,0,0,0,0,0,3.4166666667
Trevor,Atkinson,M,,,UK,08/12/1971,15,11,16,13,15,20,,13;16,,,,,1,0,5,9,0,0,5,83,50,55,2,0,0,0,0,0,0,0,0,0,1.8666666667
Francis,West,M,,,UnitedStates,18/05/1975,14,20,13,10,18,19,,10;20,,,,,4,2,7,11,0,0,2,37,50,55,4,0,0,0,0,0,0,0,0,0,2.8
Carrie,Hogan,F,,,UnitedStates,31/10/1986,18,13,18,18,11,14,,3;18,,,,,5,1,7,6,0,0,0,32,9,55,1,0,0,0,0,0,0,0,0,0,1.1666666667
Gabriela,Rojas,F,,,Chile,23/11/1979,16,20,15,18,19,15,,3;15,,,,,5,3,6,1,0,0,11,58,129,54,3,0,0,0,0,0,0,0,0,0,1.7333333333
Kai,Gosselin,M,,,Finland,02/09/1985,11,12,13,16,16,12,,8;16,,,,,3,0,7,1,0,0,0,10,62,54,4,0,0,0,0,0,0,0,0,0,2.4791666667
Ali,Basara,M,,,Egypt,27/03/1973,11,14,10,12,15,17,,10;16,,,,,2,4,4,5,0,0,5,21,50,54,4,0,0,0,0,0,0,0,0,0,1.7083333333
Kelly,Shaw,F,,,UK,18/06/1975,11,11,12,15,19,14,,9;18,,,,,4,0,3,9,1,0,4,73,70,54,2,0,0,0,0,0,0,0,0,0,2.45
Janet,Murphy,F,,,UnitedStates,16/11/1964,14,18,18,10,17,20,,12;18,,,,,4,1,0,1,0,0,0,36,50,57,4,0,0,0,0,0,0,0,0,0,2.2208333333
Jimmy,Hansson,M,,,UnitedStates,24/02/1983,18,11,18,10,13,16,,4;19,,,,,4,0,5,3,1,0,0,16,80,56,3,0,0,0,0,0,0,0,0,0,2.2708333333
Monica,Geller,F,,,UK,16/05/1973,20,15,20,19,10,11,,9;17,,,,,2,1,1,6,0,0,11,64,50,56,3,0,0,0,0,0,0,0,0,0,3.8541666667
Alicia,Florrick,F,,,UnitedStates,31/07/1971,16,20,11,10,12,19,,12;4,,,,,3,0,7,2,0,0,0,35,131,65,4,0,0,0,0,0,0,0,0,0,3.7166666667
Harry,Granger,M,,,UK,07/02/1972,20,12,15,18,11,12,,4;21,,,,,3,1,2,6,0,0,0,55,50,56,4,0,0,0,0,0,0,0,0,0,3.9458333333
Ulla,Jenson,F,,,UnitedStates,13/01/1986,13,18,18,20,11,17,,10;15,,,,,2,0,5,7,0,0,0,85,47,56,3,0,0,0,0,0,0,0,0,0,3.5041666667
Toby,McGaia,M,,,UK,23/02/1989,20,15,18,20,10,20,,9;15,,,,,2,1,4,3,0,0,3,17,56,56,1,0,0,0,0,0,0,0,0,0,2.5291666667
Richard,Gallagher,M,,,UnitedStates,12/12/1972,20,19,19,18,10,13,,8;20,,,,,4,0,7,9,0,0,0,66,56,55,4,0,0,0,0,0,0,0,0,0,3.6625
Pete,Coleby,M,,,UnitedStates,14/09/1980,13,20,12,17,18,16,,4;15,,,,,3,1,7,2,1,1,4,24,38,54,4,0,0,0,0,0,0,0,0,0,2.225
Robert,Morris,M,,,UK,20/12/1985,14,16,16,18,12,17,,8;19,,,,,4,0,2,4,0,0,0,54,140,54,2,0,0,0,0,0,0,0,0,0,1.9708333333
Isabel,Bishop,F,,,Ireland,07/11/1990,13,10,19,18,18,20,,10;21,,,,,5,1,10,4,0,0,0,86,37,53,2,0,0,0,0,0,0,0,0,0,3.2375
Ellen,McBride,F,,,UK,06/04/1992,20,17,10,17,19,15,,1;21,,,,,2,1,6,5,0,1,0,54,35,56,2,0,0,0,0,0,0,0,0,0,2.3083333333
Wanda,Adams,F,,,UnitedStates,21/03/1978,14,12,17,13,13,15,,2;18,,,,,5,0,8,7,0,0,0,28,21,65,1,0,0,0,0,0,0,0,0,0,3.2541666667
Nico,Appelbaum,M,,,Germany,19/02/1990,10,20,11,10,18,14,,9;21,,,,,1,1,5,8,0,0,2,11,446,56,3,0,0,0,0,0,0,0,0,0,2.6125
Alessandro,Mavros,M,,,Greece,23/01/1984,12,12,13,15,17,14,,10;21,,,,,1,3,2,6,1,0,0,55,377,65,1,0,0,0,0,0,0,0,0,0,1.8625
Christian,Urgestein,M,,,Germany,02/07/1993,11,11,19,19,17,12,,4;16,,,,,4,2,13,6,0,0,4,57,51,55,2,0,0,0,0,0,0,0,0,0,2.5166666667
Chen,Chang,F,,,China,22/01/1973,13,15,14,13,12,14,,8;19,,,,,2,1,2,7,1,0,0,22,70,50,4,0,0,0,0,0,0,0,0,0,2.1916666667
Chepe,Chavez,M,,,Cuba,01/06/1968,15,19,18,20,15,20,,9;17,,,,,3,4,1,8,1,0,4,69,84,60,1,0,0,0,0,0,0,0,0,0,2.4583333333
Aidan,Graveson,M,,,UK,20/11/1990,12,16,17,10,11,19,,8;19,,,,,3,1,9,7,0,0,0,74,149,50,3,0,0,0,0,0,0,0,0,0,2.2041666667
Noel,Stephens,M,,,UK,07/05/1989,12,18,19,19,19,10,,19;4,,,,,1,5,7,7,0,0,10,14,24,52,3,0,0,0,0,0,0,0,0,0,2.45
Jacob,Denton,M,,,UnitedStates,17/03/1990,16,20,19,13,14,15,,1;15,,,,,5,5,5,8,3,0,0,37,6,51,2,0,0,0,0,0,0,0,0,0,1.9625
Garry,White,M,,,UK,20/01/1992,19,11,10,15,10,10,,1;18,,,,,5,5,6,8,0,0,7,36,66,58,2,0,0,0,0,0,0,0,0,0,2.3291666667
Will,Stephens,M,,,UnitedStates,11/09/1992,14,18,17,11,14,14,,9;17,,,,,2,5,10,6,1,0,7,10,65,58,2,0,0,0,0,0,0,0,0,0,2
Nicole,Delapierre,F,,,Malta,20/08/1992,13,13,19,15,11,16,,8;21,,,,,3,2,6,8,0,0,7,35,43,66,2,0,0,0,0,0,0,0,0,0,2.35
Matt,Brady,M,,,UK,20/08/1992,16,15,13,13,13,18,,4;20,,,,,1,1,9,8,0,0,11,39,112,55,2,0,0,0,0,0,0,0,0,0,2.95
Gary,Watson,M,,,UK,20/08/1988,11,10,13,10,17,16,,12;21,,,,,5,1,6,1,0,0,1,76,85,55,2,0,0,0,0,0,0,0,0,0,2.575
Astrid,Öberg,F,,,Sweden,20/08/1991,13,13,12,19,15,12,,7;21,,,,,3,0,3,2,0,0,0,50,28,50,2,0,0,0,0,0,0,0,0,0,1.8875
Danny,Cox,M,,,UnitedStates,20/08/1986,15,13,13,12,14,14,,12;15,,,,,3,2,2,5,1,0,0,73,320,55,2,0,0,0,0,0,0,0,0,0,1.225
Amelia,Vroom,F,,,Netherlands,20/08/1989,19,14,14,10,17,12,,4;15,,,,,2,1,2,8,1,0,0,26,34,50,2,0,0,0,0,0,0,0,0,0,3.95
Matías,Campos,M,,,Spain,21/08/1999,19,20,15,15,11,16,,8;16,,,,,3,0,3,8,0,0,3,13,33,55,2,0,0,0,0,0,0,0,0,0,2.3708333333
Waldmeier,Bur,M,,,Switzerland,17/4/1962,19,10,20,10,12,17,,1;19,,,,,4,3,3,6,0,0,0,88,68,56,4,0,0,0,0,0,0,0,0,0,3.3583333333
Edward,Dale,M,,,UnitedStates,27/12/1967,17,10,17,20,16,13,,3;20,,,,,4,1,8,9,0,0,0,52,49,52,5,0,0,0,0,0,0,0,0,0,2.1375
Kang,Yun,M,,,China,28/8/1972,10,16,19,20,19,16,,4;21,,,,,3,2,10,7,0,0,9,71,38,59,2,0,0,0,0,0,0,0,0,0,2.5916666667
Megan,Tran,F,,,UnitedStates,12/9/1970,17,12,14,11,11,19,,10;15,,,,,4,1,5,9,0,0,0,50,63,57,4,0,0,0,0,0,0,0,0,0,2.6208333333
Howard,Barnes,M,,,UK,13/9/1983,15,15,18,17,17,15,,11;18,,,,,4,0,0,9,0,0,0,61,42,53,5,0,0,0,0,0,0,0,0,0,2.3666666667
Sheldon,Langley,M,,,UK,6/12/1973,12,16,15,12,20,11,,3;19,,,,,5,0,7,2,0,0,0,28,65,52,2,0,0,0,0,0,0,0,0,0,2.275
Tomas,Rolstad,M,,,Norway,22/9/1963,13,20,14,19,19,16,,7;16,,,,,4,0,7,2,0,0,4,26,47,55,4,0,0,0,0,0,0,0,0,0,2.6083333333
Kouumoto,Tadako,F,,,Japan,25/3/1982,15,13,15,20,14,20,,2;20,,,,,2,1,3,9,1,0,8,37,51,57,2,0,0,0,0,0,0,0,0,0,2.8291666667
Verle,Wetering,F,,,Netherlands,12/2/1990,14,19,17,14,12,10,,7;19,,,,,2,0,8,5,1,0,0,37,67,53,4,0,0,0,0,0,0,0,0,0,3.3208333333
Jake,Marks,M,,,UK,6/12/1970,19,15,11,18,12,18,,8;18,,,,,4,1,1,6,2,0,0,21,48,56,3,0,0,0,0,0,0,0,0,0,3.05
Robert,Grove,M,,,UnitedStates,28/6/1974,15,15,10,17,16,14,,2;21,,,,,5,1,10,0,0,0,9,57,57,57,4,0,0,0,0,0,0,0,0,0,2.0708333333
Travis,Sharp,M,,,Canada,3/8/1977,14,12,16,11,19,20,,3;21,,,,,3,0,11,9,0,0,4,87,55,50,4,0,0,0,0,0,0,0,0,0,3.1458333333
Fernando,Sapateiro,M,,,Brazil,1/11/1978,18,18,18,10,14,10,,12;15,,,,,2,1,4,9,0,0,5,74,74,56,1,0,0,0,0,0,0,0,0,0,2.7916666667
Will,Bennett,M,,,UK,29/9/1986,16,19,20,13,15,16,,4;20,,,,,5,0,1,6,0,0,0,43,53,60,4,0,0,0,0,0,0,0,0,0,3.1791666667
Alfie,Hodges,M,,,UK,21/6/1973,17,16,18,13,19,10,,2;21,,,,,2,0,9,4,0,0,0,40,47,51,5,0,0,0,0,0,0,0,0,0,2.6541666667
Carl,Marks,M,,,UK,30/10/1963,10,14,14,15,13,20,,1;21,,,,,4,0,1,7,0,0,0,81,31,60,2,0,0,0,0,0,0,0,0,0,3.1
Aleena,Watkins,F,,,UK,21/2/1982,15,13,15,19,14,15,,1;19,,,,,3,0,9,1,0,0,0,55,76,51,5,0,0,0,0,0,0,0,0,0,4.0916666667
Travis,Campbell,M,,,UK,25/3/1968,12,19,13,13,17,17,,8;17,,,,,4,0,3,10,0,0,7,39,66,56,4,0,0,0,0,0,0,0,0,0,3.0583333333
Sylvie,Lalande,F,,,France,13/12/1985,13,12,15,15,13,18,,9;15,,,,,5,3,1,8,0,0,0,11,79,58,5,0,0,0,0,0,0,0,0,0,2.1958333333
Peng,Zhong,M,,,China,6/12/1972,17,11,14,12,18,14,,9;20,,,,,5,1,10,6,0,0,1,31,24,51,3,0,0,0,0,0,0,0,0,0,2.8583333333
Pensria,Chadee,F,,,Thailand,12/3/1977,14,14,13,15,14,12,,2;14,,,,,2,0,6,6,1,0,8,90,70,53,3,0,0,0,0,0,0,0,0,0,2.7458333333
Raymond,Chapuis,M,,,France,20/4/1965,13,19,14,14,14,10,,2;14,,,,,4,3,4,9,0,0,8,10,60,57,1,0,0,0,0,0,0,0,0,0,1.85
Hermina,Karlisson,F,,,Iceland,5/4/1983,15,15,12,16,17,20,,10;20,,,,,2,0,1,1,0,0,7,87,26,51,5,0,0,0,0,0,0,0,0,0,1.9083333333
Silvia,Monda,F,,,Italy,24/11/1988,17,17,13,12,19,13,,10;21,,,,,3,1,6,9,0,0,5,86,27,59,5,0,0,0,0,0,0,0,0,0,1.7166666667
Zhivka,Dinev,F,,,Bulgaria,25/10/1963,12,11,16,10,15,18,,2;14,,,,,4,0,11,5,0,0,7,13,26,56,4,0,0,0,0,0,0,0,0,0,2.3416666667
Adriana,Gouveia,F,,,Brazil,18/3/1974,18,14,13,13,10,16,,1;15,,,,,2,5,2,9,0,0,0,19,29,50,3,0,0,0,0,0,0,0,0,0,3.15
Michael,Wiliams,M,,,UnitedStates,26/8/1978,16,12,15,10,12,11,,13;21,,,,,5,0,0,2,0,0,0,63,45,54,4,0,0,0,0,0,0,0,0,0,2.8916666667
Jannik,Riederer,M,,,Germany,19/5/1972,16,17,18,16,20,15,,9;19,,,,,2,1,6,9,2,0,5,31,34,57,4,0,0,0,0,0,0,0,0,0,2.2625
Uralets,Yermolayevich,M,,,RussianFederation,22/7/1979,11,17,11,19,17,20,,13;14,,,,,4,2,5,4,2,0,0,81,36,52,4,0,0,0,0,0,0,0,0,0,2.4708333333
Kadnikova,Andreevich,F,,,RussianFederation,22/4/1977,12,12,17,17,13,16,,4;14,,,,,5,2,8,6,0,0,0,52,71,53,3,0,0,0,0,0,0,0,0,0,2.8958333333
Yermilova,Rodionovich,F,,,RussianFederation,23/10/1977,12,17,10,20,16,19,,2;14,,,,,3,0,11,4,0,0,0,70,53,50,2,0,0,0,0,0,0,0,0,0,4.0375
Kensley,Hines,F,,,Ireland,13/9/1978,15,19,19,18,14,20,,11;20,,,,,5,2,0,5,0,0,9,38,20,53,5,0,0,0,0,0,0,0,0,0,3.8333333333
Wanja,Brahm,F,,,Austria,14/8/1990,16,15,12,13,10,16,,4;16,,,,,4,0,2,7,0,0,0,89,43,51,2,0,0,0,0,0,0,0,0,0,2.6625
Abril,Malena,F,,,Spain,17/7/1960,11,13,16,11,19,14,,2;19,,,,,2,3,7,9,1,0,3,20,53,50,1,0,0,0,0,0,0,0,0,0,2.0541666667
Priscilla,Sabbia,F,,,Italy,27/6/1975,20,16,13,15,11,14,,9;16,,,,,2,3,1,9,0,0,6,32,36,51,5,0,0,0,0,0,0,0,0,0,2.6416666667
Constanza,Puig,F,,,Spain,3/9/1966,17,18,10,10,19,17,,1;18,,,,,2,2,8,4,0,0,0,36,66,58,5,0,0,0,0,0,0,0,0,0,1.475
Clara,Girolami,F,,,Italy,12/8/1963,15,18,20,14,17,12,,2;21,,,,,3,1,6,6,0,0,0,14,25,52,5,0,0,0,0,0,0,0,0,0,2.8916666667
Sofia,Marinelli,F,,,Italy,19/6/1974,10,20,14,20,17,15,,12;18,,,,,5,2,7,3,0,0,4,74,73,57,4,0,0,0,0,0,0,0,0,0,3.0291666667
Leonardo,Badamo,M,,,Italy,23/10/1986,16,14,18,19,12,18,,7;14,,,,,2,1,7,0,0,0,9,88,60,55,4,0,0,0,0,0,0,0,0,0,2.7125
Siniša,Margetic,M,,,Croatia,5/11/1960,17,10,15,10,17,15,,12;19,,,,,2,1,11,6,1,0,0,17,32,59,2,0,0,0,0,0,0,0,0,0,2.2083333333
George,Smith,M,,,UnitedStates,3/11/1976,17,14,15,12,18,11,,13;20,,,,,2,2,1,8,0,0,0,18,47,53,5,0,0,0,0,0,0,0,0,0,2.8916666667
Winston,Horn,M,,,UK,15/5/1962,14,15,15,16,19,15,,13;16,,,,,2,4,10,9,0,0,0,43,59,52,5,0,0,0,0,0,0,0,0,0,1.8666666667
Sandra,Quist,F,,,Sweden,29/4/1983,16,20,11,14,14,14,,4;21,,,,,5,1,8,2,0,0,0,19,39,51,5,0,0,0,0,0,0,0,0,0,1.8791666667
Pietro,Ponzio,M,,,Italy,24/10/1990,13,14,10,10,13,10,,1;18,,,,,3,2,8,6,0,0,4,12,34,53,3,0,0,0,0,0,0,0,0,0,1.9958333333
Valentino,Spagna,M,,,Italy,12/4/1971,17,16,10,17,14,16,,2;18,,,,,4,1,1,4,0,0,8,71,30,52,4,0,0,0,0,0,0,0,0,0,3.9708333333
Alexander,Turner,M,,,UK,19/2/1983,19,16,17,18,18,17,,2;14,,,,,5,4,1,9,2,0,0,42,70,60,1,0,0,0,0,0,0,0,0,0,2.4166666667
Mercedes,Abellán,F,,,Spain,4/10/1979,16,17,11,19,16,14,,1;15,,,,,5,3,9,9,0,0,0,25,46,53,4,0,0,0,0,0,0,0,0,0,2.4875
Sami,Ulala,M,,,Finland,28/3/1964,13,10,12,17,20,17,,12;14,,,,,5,0,9,2,2,0,0,89,58,56,1,0,0,0,0,0,0,0,0,0,2.2583333333
Enzo,Alméras,M,,,France,6/7/1967,20,20,14,10,19,11,,13;18,,,,,4,4,8,9,1,0,0,40,47,57,1,0,0,0,0,0,0,0,0,0,2.675
Irina,Fidalgo,F,,,Portugal,1/7/1969,20,19,13,17,20,10,,12;20,,,,,4,2,9,6,0,0,8,40,31,52,5,0,0,0,0,0,0,0,0,0,3.4125
Isac,Queiroz,M,,,Brazil,5/4/1986,14,20,20,19,13,17,,13;18,,,,,3,1,4,5,0,0,5,23,39,58,2,0,0,0,0,0,0,0,0,0,4.3958333333
Eduardo,Barbosa,M,,,Portugal,10/2/1977,12,15,11,19,18,11,,10;18,,,,,3,4,5,9,0,0,0,18,38,57,2,0,0,0,0,0,0,0,0,0,2.4875
Wu,Yazhu,F,,,China,22/5/1990,13,14,13,18,16,10,,11;21,,,,,5,1,5,9,0,0,0,57,60,53,4,0,0,0,0,0,0,0,0,0,2.8791666667
Sun,Xiuying,F,,,China,30/7/1975,18,18,17,16,20,19,,12;19,,,,,4,0,11,8,0,0,9,19,31,59,5,0,0,0,0,0,0,0,0,0,2.3333333333
Eloise,Collier,F,,,NewZealand,25/5/1963,10,11,12,11,16,19,,9;17,,,,,2,0,9,11,0,0,0,18,30,55,5,0,0,0,0,0,0,0,0,0,2.1041666667
Lucas,Watson,M,,,Australia,10/4/1979,15,15,16,15,10,20,,2;17,,,,,2,3,0,8,1,0,0,70,51,50,1,0,0,0,0,0,0,0,0,0,0.9583333333
Stanley,Hudson,M,,,UnitedStates,10/1/1967,15,17,10,20,19,20,,9;19,,,,,4,1,0,10,0,0,0,85,57,57,1,0,0,0,0,0,0,0,0,0,3.5333333333
Stanley,Carson,M,,,UnitedStates,14/7/1962,19,14,13,13,14,11,,8;20,,,,,2,4,5,9,0,0,2,36,26,55,5,0,0,0,0,0,0,0,0,0,3.2958333333
Beatriz,Andrade,F,,,Brazil,30/11/1987,15,11,15,10,12,11,,2;19,,,,,5,3,6,6,0,0,4,82,68,58,1,0,0,0,0,0,0,0,0,0,2.1291666667
Ray,Bell,M,,,UK,1/8/1981,13,15,17,13,10,17,,3;14,,,,,5,3,10,7,2,0,2,43,76,58,4,0,0,0,0,0,0,0,0,0,3.4666666667
Berndt,Krebs,M,,,Germany,6/3/1966,8,15,13,10,12,11,,3;16,,,,,3,0,2,2,0,0,0,18,64,56,4,0,0,0,0,0,0,0,0,0,3.1083333333
Georgette,Lozé,F,,,France,6/8/1982,15,3,13,13,17,0,,1;19,,,,,5,4,2,9,0,0,3,64,46,55,5,0,0,0,0,0,0,0,0,0,2.7916666667
Vicente,Collazo,M,,,Spain,28/2/1961,10,11,3,15,2,13,,4;16,,,,,5,3,0,9,0,0,0,24,44,56,4,0,0,0,0,0,0,0,0,0,2.4625
Charlotte,Dickson,F,,,UK,1/2/1965,4,16,6,15,2,4,,2;18,,,,,3,4,5,9,0,0,6,77,74,59,5,0,0,0,0,0,0,0,0,0,2.2291666667
Sivert,Eggebraaten,M,,,Norway,25/11/1979,17,10,16,15,20,17,,8;15,,,,,2,1,3,1,1,0,4,44,60,55,4,0,0,0,0,0,0,0,0,0,3.2875
Oscar,Coffey,M,,,Australia,21/5/1981,4,7,4,0,18,15,,8;14,,,,,3,1,7,9,0,0,4,31,59,53,2,0,0,0,0,0,0,0,0,0,2.4708333333
Patricija,Krznaric,F,,,Croatia,11/1/1963,2,11,6,18,20,20,,12;19,,,,,3,1,9,4,0,0,3,19,24,57,1,0,0,0,0,0,0,0,0,0,1.8875
Kelly,Wong,F,,,UK,9/7/1982,17,2,0,17,0,18,,10;15,,,,,4,4,2,9,0,0,10,67,49,52,5,0,0,0,0,0,0,0,0,0,3.0666666667
Benjamin,Vasconcelos,M,,,Brazil,17/8/1988,8,10,10,1,7,1,,1;14,,,,,4,3,9,9,0,0,10,62,57,57,1,0,0,0,0,0,0,0,0,0,2.6625
Lindert,Kasper,M,,,Netherlands,4/7/1984,8,1,13,14,10,8,,8;17,,,,,3,1,4,1,0,0,3,28,33,54,5,0,0,0,0,0,0,0,0,0,3.625
Roch,Daucourt,M,,,France,27/1/1985,19,2,19,9,7,19,,4;18,,,,,2,1,5,8,0,0,3,13,70,51,4,0,0,0,0,0,0,0,0,0,2.4
